year,pop_total_millions,yield_fraction_weighted
0.0,7195.8782740651195,0.9406376828843295
1.0,7158.937322959264,0.9358088003868317
2.0,7129.7018959044435,0.9319871759352214
3.0,7106.315182115481,0.9289300891654223
4.0,7087.370686795884,0.9264536845484816
5.0,7071.80575724071,0.9244190532340795
6.0,7058.8186372021255,0.9227213904839382
7.0,7047.804741118207,0.921281665505648
8.0,7038.308128717573,0.9200402782637349
9.0,7029.984765824092,0.9189522569704697
10.0,7022.574810172085,0.9179836353166125
